,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon,bayesian_mean,Comuna
0,Los Fabio's Popular,"Información  Opciones de servicio

Asientos al aire libre

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Comidas durante la madrugada
    Opciones del local

Cena

Espacio con asientos
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.5,74.0,$ 10.000-20.000,Hamburguesería,,"6 pm.,9 pm.",,Comuna Popular Restaurantes,319 6117987 ,"Cra. 42c #107-001, La Isla, Medellín, Popular, Medellín, Antioquia",6.295462,-75.5485003,4.440476190476191,Popular
2,Mandingas la 107,"Información  Opciones de servicio

Para llevar

Consumo en el lugar
    Ambiente

Agradable

Informal
    Pagos

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.8,20.0,$ 1-10.000,Restaurante de comida para llevar,,"6 pm.,6 .",,Comuna Popular Restaurantes,319 3353560 ,"Cra 49B #107-3, Villa Niza, Medellín, Santa Cruz, Medellín, Antioquia",6.2979724,-75.5544483,4.533333333333333,Popular
3,Grosseto Pizzeria,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.4,14.0,,Restaurante,Accesible con silla de ruedas,"12 pm.,6 .",,Comuna Popular Restaurantes,324 2886618 ,"Calle 126, Cra. 42ee #88, Medellín, Antioquia",6.3043095,-75.5462516,4.233333333333333,Popular
4,Las Paisanas,"Información  Opciones de servicio

Asientos al aire libre

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Cerveza
    Opciones del local

Cena

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Menores

Ideal para ir con niños",4.6,15.0,,Restaurante,,,,Comuna Popular Restaurantes,302 3874084 ,"0505, Medellín, Antioquia",6.3056697,-75.5531398,4.36,Popular
5,Ricuras Jadi,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Aperitivos

Café

Cerveza

Comidas durante la madrugada
    Opciones del local

Almuerzo

Cena

Postres

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Menores

Ideal para ir con niños

Menú para niños
    Estacionamiento

Estacionamiento gratuito en la calle",4.4,445.0,$ 20.000-30.000,Restaurante,Accesible con silla de ruedas,"12 pm.,6 .",,Comuna Popular Restaurantes,301 1856998 ,"Cl. 116a, Las Brisas, Medellín, Castilla, Medellín, Antioquia",6.3104622,-75.5637104,4.391208791208792,Popular
6,LA MELONA,"Información  Información proporcionada por la empresa

Se identifica como mujer empresaria
    Opciones de servicio

Asientos al aire libre

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos

Comidas durante la madrugada
    Opciones del local

Cena

Espacio con asientos
    Servicios

Sanitario

Sanitarios unisex
    Ambiente

Agradable

Informal
    Público usual

Grupos

Recomendable para ir en familia
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC
    Menores

Ideal para ir con niños

Menú para niños",4.2,82.0,$,Restaurante,,,,Comuna Popular Restaurantes,322 6683365 ,"Cl. 114 #49c-72, Pablovi, Medellín, Santa Cruz, Medellín, Antioquia",6.3027584,-75.5529221,4.178260869565218,Popular
7,GELATO & WINGS.,"Información  Opciones de servicio

Asientos al aire libre

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos

Café
    Opciones del local

Postres

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.4,21.0,,Restaurante,,"12 pm.,6 .",,Comuna Popular Restaurantes,314 8270200 ,"Av. Carabobo #109-51 a 109-13, Medellín, Antioquia",6.3007502,-75.5565957,4.270967741935484,Popular
8,Mandingas El Yefer,"Información  Opciones de servicio

Asientos al aire libre

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Qué ofrece

Comidas durante la madrugada
    Opciones del local

Cena

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Informal
    Público usual

Grupos
    Pagos

Solo dinero en efectivo
    Menores

Ideal para ir con niños",4.7,30.0,,Restaurante de comida rápida,,"6 pm.,6 .",,Comuna Popular Restaurantes,312 8390882 ,"a 108a-85, Cra. 46 #108a-14, Medellín, Antioquia",6.2983615,-75.5498452,4.525,Popular
10,Hotel Las Olas Bello By Distracom,"Información  
Wi-Fi gratis

Estacionamiento gratuito

Piscina

Servicio de lavandería
 ",4.3,400.0,,,,,https://www.hoteleslasolas.com.co/,Comuna Popular Hoteles,310 8968456 ,"Cl. 22d #45 - 39, Zamora, Bello, Antioquia",6.309017,-75.5556182,4.2926829268292686,Popular
12,Hotel El Playón,"Reseñas
5
4
3
2
1
4,2
143 reseñas
  
Escribir una reseña
  

Ordenar
Todas
ruido
2
económico
2
dormir
2",4.2,143.0,,,,,,Comuna Popular Hoteles,4631916 ,"Cra. 52 con Cll. 124, Bello, Antioquia",6.3066525,-75.5554897,4.186928104575164,Popular
15,CAMPO VALDES PARK HOSTEL,"Información  
Wi-Fi gratis

Desayuno incluido

Estacionamiento gratuito

Piscina

Cocina en algunas habitaciones

Transporte desde/hacia el aeropuerto

Gimnasio
 ",4.4,105.0,,,,,,Comuna Popular Hoteles,300 7768944 ,"Cra. 49 #77-87, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2716625,-75.5584047,4.365217391304348,Popular
