,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon
0,El Mexicano cocina y cantina de México,"Información  Accesibilidad

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Cerveza

Cócteles
    Opciones del local

Almuerzo

Cena

Postres
    Servicios

Sanitario

Tiene bar
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.3,120.0,,Restaurante mexicano,,"12 pm.,6 .",,Comuna La América Restaurantes,,"Tv. 45D #82-24, La América, Medellín, La América, Medellín, Antioquia",6.2551229,-75.6011261
1,Animal Cocina Floresta (Sede 2),"Información  Accesibilidad

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Cerveza

Cócteles

Comidas durante la madrugada

Vino
    Opciones del local

Almuerzo

Cena

Postres
    Servicios

Sanitario

Tiene bar
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Menú para niños
    Estacionamiento

Estacionamiento gratuito en la calle
    Mascotas

Se permiten perros",4.5,802.0,$ 20.000-30.000,Restaurante,,"12 pm.,6 .",http://animalcocina.com/,Comuna La América Restaurantes,302 4555684 ,"Cra. 86 #45c 68, La América, Medellín, La América, Medellín, Antioquia",6.2556344,-75.602288
2,Restaurante la América,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Café

Comidas en hora feliz

Platos vegetarianos
    Opciones del local

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos

Recomendable para ir en familia
    Pagos

Solo dinero en efectivo
    Menores

Ideal para ir con niños",4.6,10.0,,Restaurante,Accesible con silla de ruedas,"3 pm.,6 .",,Comuna La América Restaurantes,310 5031330 ,"Cl 44 #86-16, La América, Medellín, La América, Medellín, Antioquia",6.2511229,-75.60533
3,Restaurante Comidas La Mejor,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos

Recomendable para ir en familia
    Pagos

Solo dinero en efectivo",4.6,24.0,$ 10.000-20.000,Restaurante colombiano,,"9 .,6 pm.",,Comuna La América Restaurantes,43221959 ,"Cra. 84 # 43 -48, Simón Bolívar, Medellín, La América, Medellín, Antioquia",6.25026,-75.604524
4,Restaurante Donde Chucho,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos

Café
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos

Recomendable para ir en familia
    Planificación

Se aceptan reservas
    Pagos

Solo dinero en efectivo
    Menores

Ideal para ir con niños
    Estacionamiento

Estacionamiento gratuito en la calle",4.5,471.0,$ 20.000-30.000,Restaurante colombiano,Accesible con silla de ruedas,"9 .,6 pm.",http://www.restaurantedondechucho.com.co/,Comuna La América Restaurantes,(604) 3223017 ,"Cra. 82 #44-90, La Floresta, Medellín, La América, Medellín, Antioquia",6.2515216,-75.6033675
5,Gastón Coliving - Hostal,"Información  Este hostal tranquilo, con un mural colorido en la fachada, se encuentra a 5 km del Museo de Antioquía y a 28 km del aeropuerto internacional José María Córdova.
Los dormitorios sencillos tienen literas, baño compartido, casilleros y ropa de cama. Las habitaciones privadas incluyen baño en suite.
Las comodidades incluyen cocina compartida y lavandería para huéspedes. También hay una terraza amueblada. Se ofrece Wi-Fi.
  
Wi-Fi gratis

Desayuno incluido

Estacionamiento

Accesible

Piscina

Aire acondicionado

Servicio de lavandería

Se permiten mascotas

Restaurante

Cocina en algunas habitaciones

Transporte desde/hacia el aeropuerto

Gimnasio

Libre de humo
 ",4.5,221.0,Hotel de 2 estrellas,,,,,Comuna La América Hoteles,350 4629505 ,"Cra 83 #4635, La América, Medellín, La América, Medellín, Antioquia",6.2565464,-75.6007081
6,Casa Hotel La Bonita,"Información  
Wi-Fi gratis

Desayuno

Estacionamiento gratuito

Piscina

Servicio de lavandería

Gimnasio

Libre de humo
 ",5.0,18.0,,,,,,Comuna La América Hoteles,320 7578446 ,"Cl. 47A #83-15, La Floresta, Medellín, La América, Medellín, Antioquia",6.2575371,-75.6009621
7,Metro Hostal medellin,"Reseñas
5
4
3
2
1
5,0
6 reseñas
  
Escribir una reseña
  

Ordenar",5.0,6.0,,,,,,Comuna La América Hoteles,319 2228211 ,"050032, La Floresta, Medellín, Antioquia",6.2569033,-75.6032776
8,Hostel Metro Floresta Alojamiento,"Información  
Wi-Fi gratis

Desayuno pago

Estacionamiento

Accesible

Piscina

Aire acondicionado

Se permiten mascotas

Cocina en todas las habitaciones

Transporte desde/hacia el aeropuerto

Gimnasio
 ",4.8,64.0,,,No accesible con silla de ruedas,"9 .,12 .",,Comuna La América Hoteles,314 6226559 ,"Cl. 46 # 81-38, La Floresta, Medellín, La América, Medellín, Antioquia",6.2565183,-75.5996015
9,Yellow House Hostel,"Información  Este bed and breakfast sencillo con fachada amarilla se encuentra en una calle residencial, a 3 minutos a pie de la estación de trenes Floresta, a 4 km del Museo de Antioquia y a 19 minutos a pie del estadio Atanasio Girardot.
Los alojamientos informales incluyen 6 habitaciones con literas y 5 habitaciones privadas, 4 de las cuales tienen baño en suite. Todas las habitaciones cuentan con Wi-Fi sin cargo.
La propiedad dispone de desayuno que incluye ensalada de frutas, huevos, tostadas, jugo y té o café. También hay una cocina compartida. El servicio de recepción está disponible las 24 horas.
  
Wi-Fi gratis

Desayuno pago

Piscina

Servicio de lavandería

Apto para niños

Restaurante

Transporte desde/hacia el aeropuerto

Gimnasio

Bar

Libre de humo
 ",4.5,207.0,Hotel de 2 estrellas,,,,,Comuna La América Hoteles,350 6796205 ,"Cra 81A #47a-48, La Floresta, Medellín, La América, Medellín, Antioquia",6.258251,-75.5993385
